Name,PD,HOMFLY
11a_253,[[6;2;7;1];[8;4;9;3];[2;8;3;7];[18;9;19;10];[12;5;13;6];[4;13;5;14];[14;20;15;19];[20;12;21;11];[22;17;1;18];[16;21;17;22];[10;15;11;16]],(2*v^(-4)-5*v^(-2)+ 5-v^2)+ (3*v^(-4)-11*v^(-2)+ 10-3*v^2)*z^2+ (v^(-4)-8*v^(-2)+ 10-3*v^2)*z^4+ (-2*v^(-2)+ 5-v^2)*z^6+ z^8
11a_254,[[6;2;7;1];[8;4;9;3];[2;8;3;7];[20;10;21;9];[12;5;13;6];[4;13;5;14];[18;11;19;12];[14;19;15;20];[10;15;11;16];[22;18;1;17];[16;22;17;21]],(-2*v^(-2)+ 6-4*v^2+ v^4)+ (-3*v^(-2)+ 11-10*v^2+ 3*v^4)*z^2+ (-v^(-2)+ 8-10*v^2+ 3*v^4)*z^4+ (2-5*v^2+ v^4)*z^6-v^2*z^8
11a_255,[[6;2;7;1];[20;8;21;7];[8;3;9;4];[2;19;3;20];[16;9;17;10];[12;6;13;5];[4;16;5;15];[18;11;19;12];[10;17;11;18];[22;13;1;14];[14;21;15;22]],(-v^(-6)+ 3*v^(-4)-3*v^(-2)+ 2)+ (-2*v^(-6)+ 8*v^(-4)-9*v^(-2)+ 3)*z^2+ (-v^(-6)+ 7*v^(-4)-10*v^(-2)+ 3)*z^4+ (2*v^(-4)-5*v^(-2)+ 1)*z^6+ (-v^(-2))*z^8
11a_256,[[6;2;7;1];[20;8;21;7];[8;3;9;4];[2;19;3;20];[16;11;17;12];[12;6;13;5];[4;16;5;15];[18;9;19;10];[10;17;11;18];[22;13;1;14];[14;21;15;22]],(v^(-2)-1+ v^2)+ (-v^(-6)+ 2*v^(-4)-3+ v^2)*z^2+ (2*v^(-4)-v^(-2)-2+ v^2)*z^4+ (-v^(-2)-1)*z^6
11a_257,[[6;2;7;1];[8;4;9;3];[2;8;3;7];[16;10;17;9];[14;5;15;6];[4;15;5;16];[22;18;1;17];[18;11;19;12];[10;21;11;22];[20;13;21;14];[12;19;13;20]],(2*v^(-4)-6*v^(-2)+ 7-2*v^2)+ (3*v^(-4)-13*v^(-2)+ 15-5*v^2)*z^2+ (v^(-4)-9*v^(-2)+ 14-4*v^2)*z^4+ (-2*v^(-2)+ 6-v^2)*z^6+ z^8
11a_258,[[6;2;7;1];[8;4;9;3];[2;8;3;7];[16;10;17;9];[14;5;15;6];[4;15;5;16];[22;18;1;17];[18;13;19;14];[20;11;21;12];[12;19;13;20];[10;21;11;22]],(2*v^(-4)-4*v^(-2)+ 2+ 2*v^2-v^4)+ (v^(-4)-6*v^(-2)+ 3+ 3*v^2-2*v^4)*z^2+ (-2*v^(-2)+ 3+ 3*v^2-v^4)*z^4+ (1+ v^2)*z^6
11a_259,[[6;2;7;1];[8;4;9;3];[14;6;15;5];[18;10;19;9];[20;12;21;11];[22;15;1;16];[10;20;11;19];[16;21;17;22];[12;18;13;17];[2;8;3;7];[4;14;5;13]],(4*v^4-6*v^6+ 5*v^8-2*v^10)+ (8*v^4-13*v^6+ 12*v^8-3*v^10)*z^2+ (5*v^4-13*v^6+ 9*v^8-v^10)*z^4+ (v^4-6*v^6+ 2*v^8)*z^6-v^6*z^8
11a_260,[[6;2;7;1];[8;4;9;3];[14;6;15;5];[20;10;21;9];[22;15;1;16];[16;21;17;22];[18;12;19;11];[12;18;13;17];[10;20;11;19];[2;8;3;7];[4;14;5;13]],(2*v^2-v^4-2*v^6+ 4*v^8-2*v^10)+ (3*v^2-2*v^4-3*v^6+ 6*v^8-v^10)*z^2+ (v^2-3*v^4-3*v^6+ 2*v^8)*z^4+ (-v^4-v^6)*z^6
11a_261,[[6;2;7;1];[16;8;17;7];[8;3;9;4];[2;15;3;16];[14;5;15;6];[4;9;5;10];[22;18;1;17];[18;11;19;12];[10;21;11;22];[20;13;21;14];[12;19;13;20]],(v^(-8)-2*v^(-6)+ 2*v^(-2))+ (2*v^(-8)-7*v^(-6)+ 6*v^(-4)-v^(-2))*z^2+ (v^(-8)-7*v^(-6)+ 9*v^(-4)-3*v^(-2))*z^4+ (-2*v^(-6)+ 5*v^(-4)-v^(-2))*z^6+ (v^(-4))*z^8
11a_262,[[6;2;7;1];[16;8;17;7];[8;3;9;4];[2;15;3;16];[14;5;15;6];[4;9;5;10];[22;18;1;17];[18;13;19;14];[20;11;21;12];[12;19;13;20];[10;21;11;22]],(v^(-8)-2*v^(-6)+ v^(-4)+ 1)+ (v^(-8)-4*v^(-6)+ 2*v^(-4)+ v^(-2)-1)*z^2+ (-2*v^(-6)+ 2*v^(-4)+ 2*v^(-2)-1)*z^4+ (v^(-4)+ v^(-2))*z^6
