Name,HOMFLY
3_1,q**(-2) + q**(-4) + 2/q**6 + q**(-8) - 1/q**12 - 1/q**14
5_1,q**(-6) + q**(-8) + 2/q**10 + q**(-12) + q**(-14) - 1/q**18 - 1/q**20 - 1/q**22
5_2,q**(-2) + q**(-6) + q**(-8) + q**(-10) + q**(-12) - 1/q**18 - 1/q**20
7_1,q**(-10) + q**(-12) + 2/q**14 + q**(-16) + q**(-18) - 1/q**26 - 1/q**28 - 1/q**30
7_2,q**(-2) + q**(-6) + q**(-8) + q**(-16) + q**(-18) - 1/q**24 - 1/q**26
7_3,q**(-6) + q**(-10) + q**(-14) + 2/q**16 + q**(-18) + q**(-20) - 1/q**22 - 1/q**24 - 1/q**26 - 1/q**28
7_4,q**(-2) - 1/q**4 + q**(-8) + q**(-10) + 2/q**12 + q**(-14) + q**(-16) - 1/q**20 - 1/q**24 - 1/q**26
7_5,q**(-6) + 2/q**10 + q**(-12) + q**(-14) + q**(-16) - 1/q**18 - 1/q**22 - 1/q**28
8_15,q**(-6) - 1/q**8 + 2/q**10 + q**(-12) + q**(-14) + 3/q**16 + q**(-20) - 2/q**22 - 2/q**24 - 1/q**26 - 2/q**28 + q**(-30) + q**(-32)
8_19,q**(-10) + q**(-12) + 2/q**14 + 2/q**16 + 2/q**18 - 1/q**22 - 2/q**24 - 2/q**26 - 1/q**28 + q**(-32)
9_1,q**(-14) + q**(-16) + 2/q**18 + q**(-20) + q**(-22) - 1/q**34 - 1/q**36 - 1/q**38
9_2,q**(-2) + q**(-6) + q**(-8) + q**(-22) + q**(-24) - 1/q**30 - 1/q**32
9_3,q**(-10) + q**(-14) + q**(-18) + q**(-20) + q**(-22) + 2/q**24 - 1/q**30 - 1/q**32 - 1/q**34 - 1/q**36
9_4,q**(-6) + q**(-10) + q**(-16) + q**(-20) + q**(-22) + q**(-24) + q**(-26) - 1/q**28 - 1/q**30 - 1/q**32 - 1/q**34
9_5,q**(-2) - 1/q**4 + q**(-8) + q**(-12) + q**(-14) + q**(-16) + q**(-18) + q**(-22) - 1/q**26 - 1/q**30 - 1/q**32
9_6,q**(-10) + 2/q**14 + q**(-16) + 2/q**18 + q**(-20) - 1/q**22 - 2/q**26 - 1/q**36
9_7,q**(-6) + 2/q**10 + q**(-12) + q**(-16) - 1/q**18 + q**(-26) - 1/q**28 - 1/q**34
9_9,q**(-10) + 2/q**14 + q**(-18) + q**(-20) + 2/q**24 - 1/q**26 - 1/q**30 - 1/q**32 - 1/q**36
9_10,q**(-6) - 1/q**8 + q**(-10) + 2/q**16 + 2/q**20 + q**(-22) + q**(-24) + q**(-26) - 2/q**28 - 1/q**30 - 1/q**32 - 1/q**34
9_13,q**(-6) - 1/q**8 + q**(-10) + 3/q**16 + q**(-18) + 2/q**20 - 1/q**24 - 2/q**28 - 1/q**34
9_16,q**(-10) + 3/q**14 + q**(-16) + 2/q**18 + q**(-20) - 2/q**22 - 3/q**26 + q**(-34) - 1/q**36
9_18,q**(-6) - 1/q**8 + 2/q**10 + q**(-12) + 2/q**16 - 1/q**18 + q**(-20) + q**(-26) - 2/q**28 - 1/q**34
9_23,q**(-6) - 1/q**8 + 2/q**10 + q**(-12) + 3/q**16 + q**(-20) - 1/q**22 - 2/q**24 - 2/q**28 + q**(-30) + q**(-32) - 1/q**34
9_35,q**(-2) - 1/q**4 + q**(-8) - 1/q**10 + q**(-14) + 2/q**16 + 3/q**18 + q**(-20) + q**(-22) - 1/q**24 - 2/q**26 - 1/q**30 - 1/q**32
9_38,q**(-6) - 2/q**8 + 2/q**10 + q**(-12) + 4/q**16 + 2/q**20 - 1/q**22 - 2/q**24 - 3/q**28 + q**(-30) + q**(-32) - 1/q**34
9_49,q**(-6) - 1/q**8 + q**(-10) + q**(-14) + 3/q**16 + q**(-18) + 2/q**20 - 1/q**22 - 1/q**24 - 1/q**26 - 2/q**28
